,churn,eqpdays,change_mou,hnd_price,change_rev
128,0,116.0,240.5,149.98999019999997,-8.4375
129,1,656.0,-233.0,79.98999023,-2.4925
130,1,72.0,-242.25,149.98999019999997,-42.42
131,1,504.0,-51.25,59.98999023,-0.825
132,0,45.0,-45.0,199.98999019999997,-5.505
133,1,709.0,-256.5,79.98999023,-0.495
134,0,10.0,-9.25,149.98999019999997,-9.39
135,0,234.0,-7.25,99.98999023,-1.5
136,0,296.0,49.0,199.98999019999997,11.4675
137,1,574.0,-146.0,59.98999023,-0.8625
138,0,710.0,-119.0,59.98999023,-1.935
139,1,1053.0,83.75,9.989997864,22.8425
140,1,1672.0,48.0,29.98999023,1.225
141,0,616.0,-128.5,79.98999023,-2.75
142,0,124.0,-421.75,149.98999019999997,-21.185
143,1,826.0,-206.25,79.98999023,-28.07
144,1,754.0,-65.5,99.98999023,-6.4
145,1,285.0,190.75,29.98999023,-0.1275
146,0,1565.0,-46.75,29.98999023,0.0
147,1,151.0,-102.5,79.98999023,-21.1925
148,1,385.0,-235.5,9.989997864,-3.2925
149,0,69.0,-155.5,149.98999019999997,-32.845
150,0,270.0,-34.75,29.98999023,0.0
151,1,57.0,137.25,29.98999023,16.7275
152,0,626.0,15.25,59.98999023,-1.8775
153,0,241.0,474.5,499.98999019999997,27.43
154,1,383.0,0.0,29.98999023,-0.245
155,1,107.0,186.5,79.98999023,-68.885
156,0,109.0,-6.25,199.98999019999997,-0.315
157,0,740.0,48.75,79.98999023,-0.825
158,1,638.0,-60.5,29.98999023,0.875
159,0,776.0,-57.75,79.98999023,-59.0325
160,1,1669.0,-12.5,29.98999023,0.0
161,0,226.0,-12.5,149.98999019999997,-0.7425
162,1,805.0,-0.5,29.98999023,16.6375
163,0,517.0,-2.5,149.98999019999997,-0.29
164,1,206.0,100.25,149.98999019999997,-0.875
165,1,485.0,62.5,79.98999023,-0.2475
166,0,185.0,-81.75,149.98999019999997,1.4475
167,1,734.0,317.25,59.98999023,18.6725
168,0,180.0,53.25,149.98999019999997,6.975
169,0,275.0,-119.25,149.98999019999997,-15.5625
170,0,181.0,41.0,129.9899902,6.4425
171,0,769.0,-47.25,29.98999023,-2.9
172,1,249.0,-84.0,149.98999019999997,-5.215
173,1,143.0,156.0,129.9899902,45.5425
174,0,1497.0,-1.25,29.98999023,-0.4025
175,0,153.0,-129.75,149.98999019999997,-15.075
176,0,422.0,-80.0,149.98999019999997,4.6
177,1,132.0,-922.0,149.98999019999997,-15.8975
178,1,88.0,437.75,99.98999023,37.8375
179,1,1044.0,-55.25,9.989997864,-0.405
180,0,418.0,-100.5,29.98999023,-48.16
181,1,395.0,-520.0,79.98999023,-69.67
182,1,279.0,506.5,59.98999023,133.83
183,1,411.0,5.0,99.98999023,-2.295
184,0,561.0,-21.0,129.9899902,-1.3125
185,1,206.0,-499.75,99.98999023,-6.0675
186,0,94.0,35.5,129.9899902,0.1025
187,1,476.0,-359.5,9.989997864,-13.13
188,0,409.0,-753.5,59.98999023,-18.2975
189,0,253.0,-397.25,149.98999019999997,-35.7825
190,1,-3.0,-149.0,99.98999023,-11.385
191,1,1493.0,-154.0,29.98999023,-4.125
192,1,135.0,65.5,199.98999019999997,2.1825
193,1,542.0,-224.5,79.98999023,7.9725
194,1,1553.0,0.0,29.98999023,0.0
195,0,831.0,-57.0,9.989997864,-13.965
196,1,584.0,-80.5,29.98999023,59.1175
197,1,1490.0,-24.25,29.98999023,-0.315
198,1,1333.0,0.0,29.98999023,0.0
199,0,252.0,-370.5,129.9899902,-28.3875
200,1,1489.0,-24.0,29.98999023,-3.7775
201,1,165.0,183.5,129.9899902,-0.125
202,1,489.0,-1037.25,199.98999019999997,124.88
203,1,503.0,-12.0,79.98999023,-0.235
204,0,318.0,134.75,99.98999023,1.1825
205,1,397.0,-421.75,29.98999023,5.955
206,0,315.0,102.5,129.9899902,19.8975
207,1,1595.0,-18.5,29.98999023,-18.5
208,1,672.0,-113.0,9.989997864,5.95
209,0,77.0,265.0,149.98999019999997,3.3925
210,0,299.0,-43.0,129.9899902,-6.625
211,0,506.0,-4.5,199.98999019999997,3.15
212,1,216.0,-1421.25,29.98999023,-56.67
213,1,1592.0,-36.25,29.98999023,-3.2175
214,1,1485.0,623.25,29.98999023,45.86
215,0,78.0,320.5,99.98999023,-1.1
216,0,670.0,4.75,9.989997864,-0.27
217,1,1592.0,-4.5,29.98999023,-35.16
218,1,25.0,-125.25,199.98999019999997,-2.29
219,1,198.0,1.75,79.98999023,0.7425
220,1,452.0,36.0,59.98999023,-17.4375
221,0,329.0,73.75,149.98999019999997,17.3975
222,1,634.0,-78.25,9.989997864,23.9
223,1,475.0,-217.0,9.989997864,18.3375
224,1,902.0,-6.25,9.989997864,-0.315
225,1,1483.0,-0.75,29.98999023,-0.155
226,1,1590.0,73.0,29.98999023,2.15
227,1,669.0,-171.0,29.98999023,-1.485
228,1,166.0,667.0,199.98999019999997,50.9975
229,0,99.0,-86.0,199.98999019999997,-3.0675
230,1,515.0,88.5,79.98999023,-23.7875
231,1,4.0,-6.25,29.98999023,-0.315
232,0,86.0,-166.0,199.98999019999997,-14.165
233,1,278.0,482.75,99.98999023,27.7625
234,1,477.0,-5.75,149.98999019999997,0.0
235,1,964.0,29.75,29.98999023,2.205
236,1,61.0,133.5,199.98999019999997,-40.525
237,0,675.0,-3.75,29.98999023,-1.0575
238,1,402.0,75.25,199.98999019999997,14.2025
239,0,799.0,-1.5,79.98999023,0.0
240,1,1088.0,-182.5,59.98999023,0.0
241,1,299.0,-137.0,199.98999019999997,-4.7375
242,1,80.0,511.0,149.98999019999997,33.8575
243,0,47.0,151.0,149.98999019999997,1.065
244,1,768.0,-0.75,79.98999023,0.0
245,0,325.0,72.5,79.98999023,-0.45
246,1,109.0,-1597.25,29.98999023,-50.16
247,1,578.0,-69.75,29.98999023,1.485
248,1,128.0,-334.5,149.98999019999997,-25.5125
249,0,30.0,-784.5,29.98999023,-6.5925
250,1,408.0,-1754.0,99.98999023,-134.795
251,1,195.0,-449.75,129.9899902,-22.135
252,0,1538.0,-4.25,29.98999023,0.0
253,0,239.0,-111.0,199.98999019999997,2.67
254,1,305.0,-538.5,59.98999023,2.6725
255,1,919.0,102.0,9.989997864,0.2925
256,1,643.0,-54.75,59.98999023,-3.2475
257,1,361.0,343.25,199.98999019999997,0.2625
258,1,519.0,74.25,149.98999019999997,14.1825
259,1,1644.0,-135.5,29.98999023,-48.9575
260,0,693.0,374.25,129.9899902,-12.4675
261,1,804.0,111.5,79.98999023,4.875
262,0,1583.0,-159.25,29.98999023,-28.91
263,0,75.0,-126.0,149.98999019999997,-12.8675
264,0,443.0,138.75,149.98999019999997,1.725
265,1,39.0,227.0,199.98999019999997,12.2975
266,1,358.0,-61.5,29.98999023,-5.325
267,1,294.0,-1298.25,199.98999019999997,-324.3025
268,1,431.0,13.0,199.98999019999997,-0.3
269,1,957.0,-510.75,29.98999023,-21.1
270,1,293.0,156.25,149.98999019999997,37.9825
271,1,90.0,110.5,149.98999019999997,-8.995
272,1,650.0,-104.25,9.989997864,-6.05
273,0,115.0,-232.75,199.98999019999997,-46.0
274,1,348.0,-431.0,79.98999023,-34.2325
275,1,1471.0,-15.25,29.98999023,7.3625
276,1,881.0,10.25,9.989997864,-2.0025
277,1,86.0,-254.5,149.98999019999997,-28.6475
278,1,631.0,997.0,129.9899902,14.3375
279,1,566.0,-153.75,29.98999023,-0.27
280,1,1531.0,-14.5,29.98999023,0.0
281,1,224.0,-1173.25,129.9899902,-29.2725
282,1,18.0,39.0,149.98999019999997,2.6775
283,1,96.0,-1107.25,99.98999023,-26.305
284,1,62.0,179.75,149.98999019999997,-0.495
285,1,953.0,-33.0,29.98999023,-0.29
286,1,226.0,-411.75,99.98999023,-27.74
287,0,1638.0,5.5,29.98999023,3.375
288,0,547.0,-512.25,9.989997864,0.0
289,1,647.0,-21.75,9.989997864,0.2475
290,1,1144.0,-93.0,9.989997864,0.0
291,1,694.0,28.5,29.98999023,0.0
292,0,284.0,90.5,149.98999019999997,10.005
293,1,1441.0,20.5,29.98999023,0.0
294,0,438.0,32.25,79.98999023,-0.45
295,0,25.0,-65.0,129.9899902,-0.295
296,1,223.0,132.25,129.9899902,1.4375
297,1,1636.0,0.0,29.98999023,0.0
298,1,1120.0,-51.5,29.98999023,-5.935
299,0,241.0,-359.25,99.98999023,-47.2825
300,1,263.0,-225.5,29.98999023,-19.36
301,0,206.0,-354.75,129.9899902,4.7
302,1,1250.0,67.0,29.98999023,-0.0425
303,0,314.0,39.0,99.98999023,-10.8675
304,0,539.0,204.0,29.98999023,-0.315
305,1,308.0,64.0,79.98999023,-0.135
306,0,54.0,134.5,149.98999019999997,9.8625
307,1,6.0,-30.5,199.98999019999997,-7.5
308,1,253.0,-3.0,29.98999023,-11.9925
309,0,19.0,-253.75,199.98999019999997,-11.7475
310,1,217.0,-445.5,99.98999023,-23.86
311,0,53.0,17.75,29.98999023,-1.625
312,1,678.0,36.25,29.98999023,-0.2475
313,1,95.0,354.0,79.98999023,-11.37
314,1,468.0,0.0,129.9899902,0.0
315,1,369.0,-45.0,199.98999019999997,-2.72
316,1,1222.0,-85.75,9.989997864,-0.1375
317,0,187.0,105.75,149.98999019999997,-63.5975
318,1,195.0,34.5,29.98999023,5.3325
319,0,1206.0,-1.25,29.98999023,0.0
320,0,446.0,111.75,9.989997864,-1.55
321,0,369.0,327.75,199.98999019999997,0.2475
322,0,35.0,70.75,79.98999023,31.7675
323,0,173.0,634.75,29.98999023,69.7125
324,0,198.0,86.0,99.98999023,-8.3275
325,1,1462.0,34.75,29.98999023,8.98
326,0,691.0,37.5,59.98999023,-1.1525
327,0,160.0,-62.75,199.98999019999997,-14.1
328,0,246.0,-341.25,129.9899902,-27.6475
329,1,325.0,1.25,29.98999023,0.0
330,1,230.0,-4.25,129.9899902,0.735
331,0,664.0,-243.25,29.98999023,2.655
332,0,438.0,-16.75,149.98999019999997,0.0
333,1,11.0,-133.75,29.98999023,-9.6025
334,1,257.0,-17.25,99.98999023,12.4075
335,1,239.0,45.25,99.98999023,2.35
336,1,1461.0,44.0,29.98999023,8.7175
337,1,922.0,202.5,9.989997864,14.5725
338,1,1084.0,-281.75,9.989997864,-0.9225
339,0,417.0,-279.75,129.9899902,-0.195
340,0,194.0,3.75,199.98999019999997,-16.695
341,0,192.0,-363.0,129.9899902,-5.995
342,0,378.0,-50.5,149.98999019999997,2.2575
343,0,181.0,-16.5,29.98999023,-1.725
344,0,317.0,-1.5,149.98999019999997,-12.6225
345,1,1628.0,140.25,29.98999023,-0.7425
346,0,123.0,547.5,29.98999023,58.9375
347,0,74.0,4.75,129.9899902,1.17
348,1,583.0,-580.75,9.989997864,-9.825
349,1,36.0,-6.25,9.989997864,-0.315
350,0,435.0,322.5,79.98999023,20.6625
351,1,238.0,-65.75,199.98999019999997,-1.035
352,0,48.0,-265.0,29.98999023,-28.9975
353,1,431.0,-6.5,9.989997864,0.0
354,0,32.0,13.75,149.98999019999997,6.435
355,0,89.0,-120.0,149.98999019999997,-8.88
356,0,632.0,76.75,149.98999019999997,-34.8375
357,0,429.0,-20.0,29.98999023,-4.9275
358,0,1517.0,24.0,29.98999023,0.0
359,0,631.0,-28.25,79.98999023,-7.83
360,0,502.0,84.5,79.98999023,-7.31
361,1,437.0,35.5,149.98999019999997,-19.0675
362,1,684.0,-189.5,79.98999023,0.0
363,0,182.0,209.75,129.9899902,-0.27
364,0,30.0,-131.0,149.98999019999997,-25.8225
365,1,1001.0,-136.5,29.98999023,5.2325
366,0,510.0,16.75,149.98999019999997,0.0
367,1,456.0,188.5,79.98999023,16.0525
368,0,555.0,-162.25,199.98999019999997,-10.6725
369,0,145.0,-29.25,149.98999019999997,8.76
370,1,259.0,-89.75,199.98999019999997,-7.5325
371,1,841.0,-57.5,29.98999023,1.035
372,1,474.0,-166.25,129.9899902,-71.7425
373,1,103.0,-424.25,149.98999019999997,-51.8925
374,1,100.0,-249.5,149.98999019999997,-25.8775
375,0,448.0,-40.25,149.98999019999997,-4.875
376,1,1622.0,0.0,29.98999023,0.0
377,1,228.0,100.5,29.98999023,0.0
378,0,104.0,78.75,99.98999023,-53.78
379,0,861.0,-137.5,79.98999023,-0.2225
380,0,569.0,-97.5,129.9899902,-26.6225
381,0,174.0,77.25,99.98999023,-31.06
382,0,13.0,1037.5,149.98999019999997,119.5425
383,1,686.0,-5.0,29.98999023,0.2475
384,1,290.0,-18.75,129.9899902,-8.4975
385,1,470.0,-48.5,129.9899902,4.575
386,1,530.0,-1340.25,149.98999019999997,-61.725
387,1,998.0,4.75,29.98999023,1.8525
388,1,52.0,69.5,99.98999023,-0.195
389,0,619.0,-17.0,9.989997864,-13.1625
390,0,644.0,5.75,79.98999023,-6.9
391,0,311.0,-0.25,129.9899902,27.65
392,1,1451.0,-2.75,29.98999023,19.43
393,1,572.0,302.0,9.989997864,13.7775
394,0,582.0,-148.25,29.98999023,-6.45
395,0,1511.0,78.25,29.98999023,7.22
396,1,646.0,-452.0,79.98999023,-76.41
397,1,616.0,-30.0,39.98999023,-0.255
398,1,320.0,-78.75,99.98999023,-12.9
399,1,247.0,11.5,9.989997864,-6.955
400,0,183.0,243.5,129.9899902,41.985
401,1,477.0,73.75,9.989997864,-2.0125
402,0,13.0,-703.0,249.98999019999997,-97.2175
403,1,1179.0,-91.25,9.989997864,-7.8025
404,1,575.0,-44.75,29.98999023,-13.9
405,0,647.0,-130.75,79.98999023,-4.0775
406,0,403.0,28.5,29.98999023,3.3225
407,1,511.0,0.0,99.98999023,0.0
408,0,822.0,-208.0,79.98999023,0.0
409,0,68.0,-405.25,99.98999023,-25.85
410,0,389.0,-2.75,149.98999019999997,-10.4125
411,0,256.0,114.75,199.98999019999997,-7.575
412,0,239.0,-29.0,79.98999023,-10.52
413,0,528.0,-262.75,79.98999023,-55.095
414,1,1447.0,-0.25,29.98999023,-0.225
415,0,166.0,-98.75,149.98999019999997,-1.1325
416,1,373.0,-48.0,99.98999023,-1.195
417,0,243.0,-281.75,99.98999023,-13.035
418,1,875.0,-4.5,29.98999023,0.0
419,1,313.0,50.5,99.98999023,73.46
420,0,652.0,-76.0,79.98999023,-35.48
421,0,16.0,44.75,99.98999023,-3.1975
422,1,698.0,-282.5,29.98999023,-49.815
423,0,410.0,-51.75,199.98999019999997,-6.455
424,0,702.0,-45.5,29.98999023,-0.23
425,1,217.0,-2422.0,199.98999019999997,-205.625
426,0,556.0,-54.25,199.98999019999997,4.065
427,0,304.0,10.5,99.98999023,-0.27
428,1,1554.0,-7.25,29.98999023,0.495
429,1,340.0,105.0,79.98999023,13.1675
430,1,142.0,-8.0,29.98999023,-1.2375
431,1,117.0,277.25,199.98999019999997,-93.8675
432,0,331.0,273.5,129.9899902,-15.755
433,1,430.0,-45.75,79.98999023,-1.8975
434,0,1554.0,-122.5,29.98999023,0.0
435,0,402.0,-345.5,9.989997864,-19.2975
436,1,1088.0,-15.5,9.989997864,-5.04
437,1,135.0,-834.0,99.98999023,-11.885
438,0,198.0,-37.0,149.98999019999997,-0.675
439,1,1264.0,-56.0,29.98999023,3.02
440,1,588.0,-3.25,149.98999019999997,2.5
441,1,439.0,131.25,149.98999019999997,33.0075
442,0,494.0,-58.5,59.98999023,-4.8575
443,1,204.0,-155.5,99.98999023,-12.825
444,1,280.0,-1528.0,129.9899902,-96.2825
445,1,172.0,-337.0,29.98999023,-13.3
446,1,1444.0,-0.25,29.98999023,-0.155
447,0,195.0,262.0,29.98999023,20.025
448,0,285.0,-160.25,29.98999023,-62.0725
449,1,1444.0,-4.5,29.98999023,-1.88
450,0,686.0,1.75,29.98999023,-16.08
451,1,541.0,-152.0,149.98999019999997,-7.665
452,1,334.0,50.25,199.98999019999997,-7.0
453,0,702.0,-48.0,29.98999023,-20.925
454,0,767.0,-11.75,29.98999023,-0.045
455,0,35.0,34.25,149.98999019999997,48.42
456,0,1.0,285.75,99.98999023,0.7375
457,0,217.0,124.75,149.98999019999997,1.995
458,1,416.0,-7.0,149.98999019999997,-5.3125
459,1,1442.0,-289.0,29.98999023,-1.3375
460,0,90.0,-137.25,99.98999023,-34.5675
461,1,1287.0,-241.75,29.98999023,-7.1875
462,0,140.0,-450.25,199.98999019999997,-14.8725
463,0,4.0,-186.5,99.98999023,-7.8
464,0,410.0,-4.25,99.98999023,0.0
465,1,1504.0,-38.5,29.98999023,-29.145
466,0,663.0,92.5,79.98999023,4.27
467,1,463.0,168.75,149.98999019999997,10.3325
468,1,932.0,-87.25,59.98999023,-0.875
469,0,538.0,85.0,59.98999023,9.6975
470,1,876.0,-67.5,79.98999023,141.93
471,0,1145.0,18.75,9.989997864,0.6675
472,1,533.0,-158.0,29.98999023,-9.01
473,1,527.0,-44.25,129.9899902,-0.72
474,1,430.0,77.5,59.98999023,0.0
475,1,66.0,76.25,79.98999023,6.93
476,1,1502.0,-8.0,29.98999023,-12.96
477,0,195.0,32.75,129.9899902,-0.475
478,1,88.0,-104.0,99.98999023,-48.0725
479,0,423.0,108.25,79.98999023,-0.07
480,0,341.0,205.0,149.98999019999997,13.025
481,1,1548.0,37.0,29.98999023,-2.3075
482,1,231.0,108.0,99.98999023,-10.3275
483,1,601.0,-18.5,29.98999023,-3.345
484,0,86.0,-137.25,199.98999019999997,0.465
485,1,135.0,220.0,129.9899902,3.1275
486,1,615.0,-57.5,29.98999023,-22.21
487,0,15.0,-93.0,79.98999023,-39.525
488,1,802.0,-244.75,79.98999023,-69.9225
489,0,155.0,-422.0,129.9899902,-8.445
490,0,98.0,59.5,199.98999019999997,-36.55
491,1,67.0,-59.75,129.9899902,-9.725
492,1,202.0,-129.5,29.98999023,-0.1725
493,0,382.0,-774.25,199.98999019999997,-18.985
494,1,349.0,-139.75,199.98999019999997,-20.5475
495,0,524.0,-23.5,79.98999023,-1.0825
496,1,1607.0,9.0,29.98999023,0.0
497,0,250.0,-96.25,129.9899902,0.0
498,0,126.0,416.0,9.989997864,-11.0875
499,0,3.0,-24.75,199.98999019999997,0.0
500,1,1390.0,-64.0,9.989997864,-0.9025
501,1,454.0,-135.0,29.98999023,-4.275
502,1,437.0,-148.25,149.98999019999997,-64.4675
503,1,1437.0,19.25,29.98999023,-0.245
504,1,1437.0,20.5,29.98999023,-3.9225
505,0,92.0,21.75,199.98999019999997,-20.525
506,1,62.0,126.25,79.98999023,-8.29
507,0,421.0,330.75,9.989997864,23.54
508,0,574.0,97.25,29.98999023,-0.9225
509,1,39.0,702.3333332999999,149.98999019999997,6.853333332999999
510,0,268.0,250.5,79.98999023,-11.48
511,0,103.0,-192.25,99.98999023,-38.71
512,0,555.0,-832.0,149.98999019999997,-4.425
513,1,367.0,-202.25,59.98999023,-0.6525
514,1,212.0,193.0,149.98999019999997,19.69
515,0,556.0,-165.5,199.98999019999997,1.1675
516,1,204.0,-72.25,99.98999023,-12.32
517,0,293.0,-104.25,199.98999019999997,-3.245
518,0,428.0,-208.5,29.98999023,-24.2475
519,0,96.0,-110.75,99.98999023,-23.6325
520,1,758.0,-633.75,29.98999023,7.6625
521,1,507.0,-0.25,39.98999023,0.0
522,0,110.0,-414.25,99.98999023,-37.965
523,1,1542.0,-4.5,29.98999023,-0.2475
524,1,530.0,10.25,59.98999023,-5.4675
525,1,436.0,-15.5,29.98999023,-1.02
526,1,405.0,4.5,199.98999019999997,-1.2525
527,1,1602.0,-102.5,29.98999023,0.0
528,1,501.0,89.0,9.989997864,-0.9
529,1,1494.0,-1.25,29.98999023,-0.35
530,0,299.0,67.75,129.9899902,0.495
531,1,929.0,-2.25,9.989997864,-0.6975
532,0,861.0,55.0,29.98999023,2.925
533,1,1494.0,25.5,29.98999023,4.89
534,0,66.0,-4.75,199.98999019999997,15.32
535,1,77.0,-280.0,29.98999023,-21.715
536,0,556.0,-23.25,79.98999023,-0.27
537,0,72.0,344.75,129.9899902,13.755
538,1,888.0,-28.75,29.98999023,1.44
539,0,872.0,-381.5,29.98999023,-20.0325
540,1,53.0,-230.75,29.98999023,-36.9625
541,1,621.0,19.75,29.98999023,22.55
542,0,647.0,40.75,29.98999023,-1.2725
543,0,48.0,833.0,129.9899902,-3.3275
544,0,737.0,42.25,59.98999023,6.7575
545,1,683.0,-31.0,59.98999023,53.69
546,0,374.0,-144.0,39.98999023,-15.605
547,0,427.0,136.5,99.98999023,0.0
548,0,686.0,-6.0,9.989997864,1.6675
549,1,365.0,-278.75,29.98999023,-34.685
550,0,256.0,195.0,9.989997864,-0.225
551,1,821.0,-20.0,59.98999023,-2.45
552,1,351.0,347.5,199.98999019999997,3.1625
553,1,1535.0,0.0,29.98999023,0.0
554,1,860.0,231.5,9.989997864,18.7175
555,0,153.0,0.25,79.98999023,-2.47
556,1,1535.0,-35.0,29.98999023,-0.2475
557,1,100.0,-448.75,199.98999019999997,-36.0075
558,0,223.0,-93.75,149.98999019999997,-0.0975
559,0,66.0,564.25,79.98999023,-2.985
560,0,236.0,198.0,149.98999019999997,20.1225
561,0,9.0,-547.75,199.98999019999997,-17.9225
562,1,360.0,145.75,199.98999019999997,-10.0375
563,0,455.0,-3.5,149.98999019999997,-1.4975
564,0,382.0,-145.0,199.98999019999997,1.9375
565,0,99.0,-350.25,199.98999019999997,-7.0275
566,1,746.0,-316.0,29.98999023,-6.4675
567,0,85.0,-38.5,199.98999019999997,-0.8925
568,1,401.0,-137.25,129.9899902,-55.335
569,0,358.0,-434.75,149.98999019999997,-144.3025
570,0,179.0,-350.75,9.989997864,-12.055
571,0,225.0,-932.25,29.98999023,-74.9875
572,0,11.0,-917.5,149.98999019999997,-67.375
